"数据库"	"逻辑名"	"物理路径"	"盘符"	"文件MB"	"上限MB"	"自动增长"
"GX"	"GX"	"D:\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\GX.mdf"	"D"	"1261471"	"不限"	"开启"
"GX"	"GX_log"	"D:\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\GX_log.ldf"	"D"	"940882.7"	"不限"	"开启"
"GX02"	"GX02"	"D:\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\GX02.mdf"	"D"	"727695"	"不限"	"开启"
"GX02"	"GX02_log"	"D:\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\GX02_log.ldf"	"D"	"153841.6"	"不限"	"开启"
"GX17"	"GX17"	"D:\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\GX17.mdf"	"D"	"1255547.4"	"不限"	"开启"
"GX17"	"GX17_log"	"D:\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\GX17_log.ldf"	"D"	"156509.1"	"不限"	"开启"
"tempdb"	"tempdev"	"C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\tempdb.mdf"	"C"	"8"	"不限"	"开启"
"tempdb"	"templog"	"C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\templog.ldf"	"C"	"8"	"不限"	"开启"
"tempdb"	"temp2"	"C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\tempdb_mssql_2.ndf"	"C"	"8"	"不限"	"开启"
"tempdb"	"temp3"	"C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\tempdb_mssql_3.ndf"	"C"	"8"	"不限"	"开启"
"tempdb"	"temp4"	"C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\tempdb_mssql_4.ndf"	"C"	"8"	"不限"	"开启"
"tempdb"	"temp5"	"C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\tempdb_mssql_5.ndf"	"C"	"8"	"不限"	"开启"
"tempdb"	"temp6"	"C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\tempdb_mssql_6.ndf"	"C"	"8"	"不限"	"开启"
"tempdb"	"temp7"	"C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\tempdb_mssql_7.ndf"	"C"	"8"	"不限"	"开启"
"tempdb"	"temp8"	"C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\tempdb_mssql_8.ndf"	"C"	"8"	"不限"	"开启"
