unit_buy,unit_sell,same,npair,v_out
吨,吨,1,31590,1490307557716.916
台,个,0,10493,407797848956.2929
UNKNOWN,UNKNOWN,1,7698,136500527976.6472
台,台,1,45604,105009358730.3978
个,个,1,31292,67335190165.83971
套,个,0,5754,53687234017.23679
UNKNOWN,吨,0,334,53602221944.00565
辆,辆,1,837,39722603275.10364
件,件,1,10937,37810955285.03998
只,只,1,10761,23146067657.46968
套,套,1,14314,21659123872.92461
吨,公斤,0,3091,21394061248.74934
箱,个,0,550,19594960853.12091
盒,盒,1,5599,17918372959.57827
箱,箱,1,4264,17174289250.85517
公斤,公斤,1,4573,16131193871.80235
UNKNOWN,项,0,1169,16024527494.96907
吨,千克,0,1107,15702286810.61224
米,米,1,7175,15430873507.51262
次,次,1,612,14824356851.59518
吨,kg,0,1923,10409697004.32952
千克,千克,1,1210,10028083715.36752
UNKNOWN,千米,0,1,9741460776.599951
件,个,0,3661,9547984044.885944
瓶,瓶,1,4793,9482637531.405939
立方米,立方米,1,541,9292129944.855227
吨,KG,0,1339,8743354139.534515
只,个,0,8444,8506027718.048779
kW.h,千瓦时,0,1,8406527023
套,台,0,6650,8342231985.139464
台,套,0,8276,7176626898.568499
双,双,1,2226,6942821091.239218
KW.H,KVA,0,1,6490818675.89
条,条,1,3178,6360877155.445989
片,片,1,1990,6307726299.987194
吨,升,0,732,5233746202.285291
瓶,个,0,332,5127875573.441048
支,个,0,2010,5068162726.152472
批,套,0,530,4916875498.369181
盒,EA,0,13,4692600226.204504
辆,台,0,241,4664641496.067676
个,台,0,6798,4470464676.544217
兆瓦时,KKWH,0,1,4149452729.42
平方米,平方米,1,1073,4047984610.335654
公斤,千克,0,803,3890920277.434677
吨(MT),吨(MT),1,4,3835168138.375
UNKNOWN,次,0,1063,3770443478.22165
kg,kg,1,1337,3664848644.005565
公斤,KG,0,1361,3507360414.390269
PCS,PCS,1,798,3496353506.608415
湿吨,吨,0,4,3258832699.73
公斤,吨,0,959,3137227762.823406
KG,KG,1,825,3107633994.701491
公斤,kg,0,1388,3097415363.783778
只,件,0,1930,3045917690.467761
条,个,0,1009,3040961061.692846
千克,公斤,0,856,2945356016.430079
支,支,1,4093,2738413348.762328
台,PC,0,220,2690027374.885713
项,项,1,846,2635555467.384542
双,个,0,102,2635215985.86349
EA,盒,0,14,2599869755.025
Nm3,标方,0,1,2594629342.720001
份,份,1,66,2576786017.467499
千克,吨,0,366,2508775194.287767
吨,桶,0,503,2404986072.187051
PC,W,0,1,2337709056
升,吨,0,80,2298532312.488801
吨,UNKNOWN,0,630,2167023618.904557
包,个,0,400,2140269178.807484
UNKNOWN,个,0,1229,2081687135.925818
千克,KG,0,394,2041781151.181755
克,克,1,130,2035592245.581375
张,张,1,1824,1943578756.56607
KG,吨,0,318,1891515916.197588
千瓦时,度,0,668,1851861745.221886
台,辆,0,252,1801107455.857998
个,件,0,3311,1784814603.530159
箱,瓶,0,988,1753245044.454737
个,套,0,4958,1657389192.632473
项,UNKNOWN,0,848,1549220938.8127
件,台,0,1670,1523968940.373088
辆,UNKNOWN,0,202,1498842891.593894
套,件,0,2250,1492168227.499347
千克,平方米,0,72,1465859521.315977
吨,箱,0,155,1453111042.500867
块,块,1,1516,1435510358.747818
立方米,立方,0,105,1428063536.845295
Pcs,个,0,21,1424589647.739922
升,升,1,566,1402435896.274711
吨,T,0,405,1359758584.267599
公斤,克,0,24,1337842734.642805
个,PCS,0,1151,1295988012.150725
EA,台,0,189,1285299137.248621
吨,KWH,0,3,1266893017.24
台,UNKNOWN,0,1785,1261229601.173201
千瓦时,千瓦时,1,733,1260415364.770482
批,辆,0,29,1260189296.706875
罐,罐,1,243,1246551192.017819
桶,桶,1,2004,1222322455.237636
吨,个,0,1348,1220925426.411299
立方米,方,0,35,1210249228.297227
kg,公斤,0,1027,1206575418.685205
KG,公斤,0,781,1204779197.039591
盒,个,0,591,1192953253.229073
笔,笔,1,47,1158228393.659959
UNKNOWN,台,0,880,1156249181.142452
PC,PC,1,157,1131123179.353848
W,W,1,9,1122619246.83375
片,个,0,1164,1099262131.572484
吨,米,0,1124,1095648975.904104
只,台,0,3039,1078410060.018425
吨,批,0,240,1038888680.282766
公斤,米,0,589,1010527838.361896
台,件,0,2427,1003045243.940898
件,套,0,2159,955261254.1590323
只,套,0,2498,944689737.0655696
kg,吨,0,448,926169114.5353253
EA,EA,1,294,911537998.5861607
UNKNOWN,件,0,599,891551448.6423659
万支,条,0,18,884604341.6054688
KG,件,0,331,870463433.836533
箱,罐,0,157,854209833.0008885
个,只,0,4088,851745547.1243364
batch,件,0,1,846373444.59
辆份,辆,0,1,831305984
千克,kg,0,356,820359462.3491224
t,吨,0,20,803247438.2184561
个,片,0,570,785470573.5634857
吨,只,0,773,783697548.5083888
千克,克,0,23,771515414.1199141
PCS,台,0,487,761926765.0644106
根,根,1,1035,761447329.7641124
kg,KG,0,705,758379947.1255845
吨,平方米,0,201,756067593.3707889
次,UNKNOWN,0,899,724866105.9910239
册,UNKNOWN,0,15,722751112.2788672
UNKNOWN,月,0,328,691102732.6345953
瓶,支,0,308,688683568.4236163
件,EA,0,183,683929448.1828392
批,批,1,498,682204158.0258321
吨,件,0,1259,676695098.3045653
UNKNOWN,套,0,740,672195749.7572445
吉焦,吉焦,1,1,666553424.88
件,UNKNOWN,0,975,666118476.6246402
万千瓦时,千千瓦时,0,1,659327704
台,部,0,165,655152166.9310218
千公斤,千公斤,1,1,651523615.3199999
箱,桶,0,286,646456849.7147765
件,袋,0,448,643938012.7915038
UNKNOWN,辆,0,90,637577820.7202542
吨,套,0,854,624569387.9978712
PCS,个,0,1406,624457393.9321722
箱,件,0,958,623073978.0166993
袋,袋,1,1573,621301269.9778057
kwh,元/kwh,0,1,618338707.6
卷,卷,1,1955,598439220.3640258
W,台,0,4,597802385.63
湿吨,湿吨,1,4,597743739.1900001
套,UNKNOWN,0,1282,595514200.5504665
公斤,件,0,664,593149472.0628697
吨,瓶,0,414,562352334.269309
KG,kg,0,526,547556054.3669043
kg,千克,0,289,543280966.1605382
张,个,0,715,541631721.0418528
只,千个,0,13,541476032.058125
