product_id,value,n_units_raw,n_units_std,n_dims,n_units_phys,dom_unit,dom_dim,dom_share
305010000,357108617534.4899,285,30,15,6,UNKNOWN,UNKNOWN,0.8041
109050501,292140941134.1606,162,24,12,4,个,COUNT,0.9789
108030100,283599989390.9602,131,20,12,6,千克,MASS,0.9963
102010200,222931694627.93002,57,20,12,6,千克,MASS,0.7325
102010100,201555569626.3102,97,22,13,6,千克,MASS,0.9754
109030501,190147511686.50986,133,26,14,6,个,COUNT,0.865
108020705,162344393099.94037,138,22,13,6,千克,MASS,0.9889
109050901,140300013139.94092,176,26,13,5,个,COUNT,0.9397
108020799,121835306236.28993,364,25,15,6,千克,MASS,0.9583
108020708,121064770548.5402,74,17,11,5,千克,MASS,0.9961
110010102,114216077480.01047,471,30,15,6,千瓦时,ENERGY,0.8485
109031001,106549361010.3102,34803,30,15,6,个,COUNT,0.8326
107021301,87856905281.81995,166,24,12,5,千克,MASS,0.9911
109041501,82748171523.08011,114,25,14,6,套,SET,0.7825
107010103,78407086418.16989,77,19,12,5,千克,MASS,0.822
107010101,78382839198.19992,101,23,14,6,千克,MASS,0.9069
107010104,75052360673.92023,73,20,13,6,千克,MASS,0.9921
109052201,71918370640.01056,121,21,12,4,个,COUNT,0.9653
102030100,68291575960.57998,82,21,12,6,千克,MASS,0.9868
301010202,67676764938.969925,650,29,14,6,千克,MASS,0.4466
108020707,63409691190.25006,217,24,13,6,千克,MASS,0.9657
108010102,63371760181.35007,117,23,13,6,千克,MASS,0.9921
108030602,63325831414.390045,74,18,11,5,千克,MASS,0.9713
108020710,60708896251.39003,95,21,13,6,千克,MASS,0.9904
305990000,59284991374.21005,196,28,14,5,UNKNOWN,UNKNOWN,0.8263
201050000,53012949204.58998,1024,31,15,6,个,COUNT,0.3183
108030202,51893247304.87995,59,16,10,4,千克,MASS,0.9898
108010301,51469730924.85984,150,24,13,6,立方米,VOLUME,0.9182
107021303,49014488778.45975,53,17,10,5,千克,MASS,0.9948
108040101,48661255643.639946,417,29,15,6,千克,MASS,0.5871
108020600,48062472818.02997,96,20,11,5,千克,MASS,0.9867
107010301,46611220360.139984,38,15,9,4,千克,MASS,0.9967
102020101,44062552012.559975,77,22,13,6,千克,MASS,0.9965
107020202,43202547839.05004,75,19,12,6,千克,MASS,0.9976
106010504,40324817088.659325,571,25,12,4,箱,CONTAINER,0.5139
304990000,40038396313.66997,501,30,15,6,UNKNOWN,UNKNOWN,0.71
109990000,39442386012.20993,1409,29,15,6,个,COUNT,0.5892
107010199,38944450304.4501,222,25,13,6,千克,MASS,0.9755
108031501,38883953471.50988,163,22,12,5,千克,MASS,0.9744
108020709,38696107494.99013,103,17,11,5,千克,MASS,0.9641
110010101,38637974707.86996,238,25,14,6,千瓦时,ENERGY,0.6427
108031601,37737171191.88999,315,25,14,5,千克,MASS,0.883
108020706,37622651714.59999,100,18,11,4,千克,MASS,0.9926
103010501,37507753709.72999,255,20,10,4,千克,MASS,0.7516
107060201,36972493127.34999,135,23,12,6,千克,MASS,0.9923
305020000,34559605423.52005,234,29,15,6,UNKNOWN,UNKNOWN,0.6757
108049900,34054596499.369987,764,28,15,6,个,COUNT,0.4514
108020704,33964884141.2398,135,21,12,5,千克,MASS,0.9877
107020209,33954145288.890026,61,13,7,3,千克,MASS,0.9976
107020217,33843080521.060036,26,11,8,4,千克,MASS,0.9957
307040200,33054513915.01974,718,21,13,5,UNKNOWN,UNKNOWN,0.8575
108031101,30808027103.96001,34,13,10,3,千克,MASS,0.9868
109040904,30264891922.590004,250,24,15,6,千米,LENGTH,0.597
107029999,30247145997.919975,411,25,13,6,千克,MASS,0.9327
102020200,29543074402.839985,69,19,14,6,立方米,VOLUME,0.9367
109041401,27595640938.74002,57,16,10,4,个,COUNT,0.996
102030200,27565438022.439938,50,19,12,5,千克,MASS,0.9861
304030301,27427680786.489983,182,26,13,5,UNKNOWN,UNKNOWN,0.6288
104010105,27394376396.950043,213,23,12,6,千米,LENGTH,0.8017
109041801,27207985040.309994,64,14,9,3,个,COUNT,0.9704
304020101,27178222205.43678,104,19,11,3,UNKNOWN,UNKNOWN,0.8563
103040201,26813532571.100014,66,18,10,4,个,COUNT,0.9942
304020300,26803933295.619984,208,25,13,5,UNKNOWN,UNKNOWN,0.6976
104010102,25806407825.509968,176,24,12,6,千克,MASS,0.9682
301010201,25614350361.309975,71,18,13,5,UNKNOWN,UNKNOWN,0.9277
107010111,25330993070.41,85,20,11,5,千克,MASS,0.9876
109051299,24688955074.281338,437,28,14,6,个,COUNT,0.8924
108031401,24170255973.970043,147,21,12,5,千克,MASS,0.9247
102019900,21678729616.52002,64,22,12,6,千克,MASS,0.9823
109051908,21342423346.12994,235,26,15,6,个,COUNT,0.613
108020711,21244987677.420002,70,17,11,5,千克,MASS,0.9899
101010401,21122452110.549984,82,20,11,4,千克,MASS,0.9962
103030200,20985152408.519993,179,22,12,5,瓶,CONTAINER,0.5598
109031002,20695325295.0,20022,28,15,6,个,COUNT,0.874
109061803,20658180056.010174,69,18,10,4,个,COUNT,0.9765
109041302,20548333885.489975,151,21,13,5,个,COUNT,0.6943
101010103,20530782071.939983,182,26,13,6,千克,MASS,0.9834
108020800,20492183072.82001,72,16,10,4,千克,MASS,0.9809
108020712,20264099647.45996,176,20,12,6,千克,MASS,0.9306
107022302,19788951997.270687,485,21,10,4,个,COUNT,0.4907
109051104,19513068761.439674,125,24,13,5,个,COUNT,0.9385
304060300,19429673170.24,194,24,14,5,UNKNOWN,UNKNOWN,0.6928
