product_id,value,n_units_raw,n_units_std,n_dims,n_units_phys,dom_unit,dom_dim,dom_share
305010000,441400437156.9375,221,28,14,5,UNKNOWN,UNKNOWN,0.8
102010100,363319813012.4861,69,19,12,6,千克,MASS,0.9946
108030100,301687433770.98004,123,22,13,6,千克,MASS,0.9943
109050501,270928982158.9611,76,21,12,4,个,COUNT,0.9879
108020708,151938919425.88535,70,17,10,4,千克,MASS,0.9981
109031001,147896975010.62158,864,27,14,6,个,COUNT,0.8683
109050901,138222143366.13507,130,21,11,4,个,COUNT,0.9755
110010102,132702967464.4895,395,29,15,6,千瓦时,ENERGY,0.7543
108020799,123722527505.41046,343,23,13,6,千克,MASS,0.9558
107010101,116021338592.18398,70,23,13,5,千克,MASS,0.9046
108020705,114783703636.66327,108,19,12,6,千克,MASS,0.9974
110010101,114223408191.707,192,27,14,6,千瓦时,ENERGY,0.9131
102010200,104915088417.15742,35,13,9,3,千克,MASS,0.9955
107010103,91674693692.26031,58,17,11,5,千克,MASS,0.8664
109030501,88871608665.10364,114,20,13,5,个,COUNT,0.9516
102020101,88682773269.10675,57,21,11,4,千克,MASS,0.998
109041501,72923769551.98178,81,21,11,4,个,COUNT,0.9033
107010199,72420682673.76514,138,22,12,5,千克,MASS,0.9777
107021301,65697472756.90241,142,21,11,5,千克,MASS,0.9854
107021303,65577070089.63677,46,13,8,4,千克,MASS,0.9986
107010104,65270266619.81421,39,16,12,5,千克,MASS,0.9963
108010102,61810074406.52739,107,21,13,6,千克,MASS,0.9924
301010202,60570427496.976204,451,26,13,5,千克,MASS,0.5139
102030100,58315328613.495285,74,17,11,5,千克,MASS,0.9935
108020600,57736224133.48808,80,16,10,4,千克,MASS,0.9912
109052201,56689542039.90402,70,17,11,4,个,COUNT,0.9744
304060300,55478231692.200775,101,23,12,4,UNKNOWN,UNKNOWN,0.8974
108020707,54165227698.03836,199,22,12,6,千克,MASS,0.971
201050000,54020495720.09189,607,31,15,6,千克,MASS,0.3522
108030602,52851207723.85604,61,19,12,5,千克,MASS,0.9869
107010301,50514679716.87413,25,10,7,3,千克,MASS,0.9989
109041302,49552240967.373146,130,22,12,4,个,COUNT,0.9099
108030202,44658716730.275375,38,13,9,4,千克,MASS,0.9929
108020713,40286319034.00982,166,20,12,5,千克,MASS,0.9483
103010501,39346228565.59432,147,21,11,4,千克,MASS,0.6525
107020209,37831239620.76709,51,14,9,3,千克,MASS,0.9992
106010504,37668905264.59255,201,24,12,5,个,COUNT,0.6777
109990000,37296752633.29833,717,29,15,6,个,COUNT,0.6416
108020710,37252747851.84016,87,16,11,5,千克,MASS,0.9894
109040904,36542719955.290215,191,21,13,5,千米,LENGTH,0.8973
102030200,36363116447.63054,35,14,7,3,千克,MASS,0.9806
108031601,36194565868.99458,167,22,13,6,千克,MASS,0.828
108020709,35806709724.959236,114,18,12,5,千克,MASS,0.9904
107060201,35471814372.60686,114,22,12,6,千克,MASS,0.9936
109051299,35361767397.46127,263,27,13,5,个,COUNT,0.7259
107029999,34433686495.04333,195,23,12,5,千克,MASS,0.9104
305020000,33784817818.6682,176,28,15,6,项,SERVICE,0.4411
306020000,33338736491.983215,36,15,10,2,UNKNOWN,UNKNOWN,0.8521
108040101,33255464488.464977,404,27,15,6,千克,MASS,0.6059
104010105,32872817845.33084,185,21,13,6,千米,LENGTH,0.7853
108020900,31359299181.346863,36,12,10,5,千克,MASS,0.9974
304990000,30951659309.120132,286,29,15,6,UNKNOWN,UNKNOWN,0.5408
109041801,30933244885.55044,34,13,9,3,个,COUNT,0.9806
107010111,30769912576.288048,47,14,9,4,千克,MASS,0.9834
109041401,30176757262.29974,38,16,11,5,个,COUNT,0.9973
108049900,29706744970.156197,579,27,15,6,个,COUNT,0.5112
107030709,29649435722.336,102,22,12,4,个,COUNT,0.9185
108010301,29516834328.411205,111,22,12,5,立方米,VOLUME,0.9439
107020202,29348804384.55526,65,17,10,4,千克,MASS,0.9983
107020217,27968699236.145416,19,7,6,3,千克,MASS,0.9998
108031501,26139174664.113895,148,22,13,6,千克,MASS,0.9629
109030503,25495104345.097572,64,20,12,4,个,COUNT,0.9939
109031002,24582156690.633488,265,25,14,6,个,COUNT,0.9253
305990000,24573959339.821835,152,25,13,5,UNKNOWN,UNKNOWN,0.5435
304020300,23938085372.15773,145,22,13,5,UNKNOWN,UNKNOWN,0.4815
109061803,23056493820.825066,34,13,10,2,个,COUNT,0.9964
108020800,23007497311.454216,51,15,10,4,千克,MASS,0.9777
107010102,22946575475.95386,46,14,9,4,千克,MASS,0.9976
106010204,22899503295.303337,143,24,13,6,千克,MASS,0.8512
107022302,22279730575.7985,171,19,11,4,个,COUNT,0.7147
107040302,21984111443.017685,41,13,9,4,千克,MASS,0.982
104010102,21956281282.88978,114,20,12,5,千克,MASS,0.9332
109051104,21631787253.31578,83,19,11,4,个,COUNT,0.9826
108030300,21155498255.185856,36,14,10,4,千克,MASS,0.9971
108020706,20612530128.19569,93,19,12,5,千克,MASS,0.9904
101010103,20602673822.946396,90,24,14,6,千克,MASS,0.9832
107010107,20436089839.9551,303,24,13,6,千克,MASS,0.4395
109051908,19332338346.151966,255,22,13,5,个,COUNT,0.8561
