product_id,unit_std,dimension,nrec,value,share,qty_std,v_prod
101010101,千克,MASS,645,4843485479.449111,.7717939182514061,3607630263.891196,6275620168.687805
101010101,UNKNOWN,UNKNOWN,151,456985304.9805956,.0728191465858184,8374494.282666087,6275620168.687805
101010101,包,CONTAINER,111,326709646.5517044,.0520601371290477,24160474.96948242,6275620168.687805
101010101,个,COUNT,551,322477866.5625238,.0513858165240029,542150183.5569643,6275620168.687805
101010101,袋,CONTAINER,343,147954175.3238831,.0235760245755631,3442406.446960449,6275620168.687805
101010101,盒,CONTAINER,70,27545818.61635542,.0043893380854685,2527275.382141113,6275620168.687805
101010101,套,SET,94,25073865.22943878,.0039954402203219,820211.9757175446,6275620168.687805
101010101,立方米,VOLUME,17,24505391.4375,.0039048557399585,11268.72127868652,6275620168.687805
101010101,批,BATCH,53,19720977.62960815,.0031424747036167,1285,6275620168.687805
101010101,OTHER,OTHER,96,19039739.3034997,.0030339215554342,1941700.005000591,6275620168.687805
101010101,箱,CONTAINER,68,17913815.6209259,.0028545092181179,116159.875,6275620168.687805
101010101,千米,LENGTH,42,8231339.65625,.0013116376445662,991.7344114761351,6275620168.687805
101010101,瓶,CONTAINER,49,7613738.858337402,.0012132249329439,1637418.837615967,6275620168.687805
101010101,次,SERVICE,15,7160624.73828125,.001141022647293,429,6275620168.687805
101010101,平方米,AREA,13,5887771.74609375,.0009381975944737,390638.071182251,6275620168.687805
101010101,项,SERVICE,10,3312509.13671875,.0005278377351846,77,6275620168.687805
101010101,副,SET,20,2487793.368652344,.0003964219155686,650008,6275620168.687805
101010101,桶,CONTAINER,34,2337140.571166992,.0003724158741837,24803,6275620168.687805
101010101,千瓦时,ENERGY,10,2153884.974456787,.0003432146810292,1270823.874912262,6275620168.687805
101010101,卷,CONTAINER,14,1838534.419616699,.00029296457883,17008,6275620168.687805
101010101,月,TIME,8,1486906,.0002369337149209,430.5,6275620168.687805
101010101,份,SERVICE,5,865642.7001953125,.0001379373953373,2685593.5,6275620168.687805
101010101,元,MONEY,3,520970,.0000830149030688,10,6275620168.687805
101010101,令,CONTAINER,2,228656.203125,.0000364356345634,622.6599731445313,6275620168.687805
101010101,罐,CONTAINER,8,64198.84999847412,.0000102298813938,60192,6275620168.687805
101010101,票,SERVICE,1,13381.759765625,2.13234061430e-06,2,6275620168.687805
101010101,笔,SERVICE,1,4995,7.95937272450e-07,1,6275620168.687805
101010102,千克,MASS,290,3473472070.48766,.9204424928196961,1484489648.304241,3773698082.806867
101010102,千米,LENGTH,27,84340568.8359375,.0223495804341627,9087.180935935978,3773698082.806867
101010102,个,COUNT,369,71315697.06157684,.0188980929307764,82465059.75649166,3773698082.806867
101010102,套,SET,65,37744130.90461731,.0100018947134593,1632363.059999086,3773698082.806867
101010102,袋,CONTAINER,148,34149352.60977626,.0090493070352825,1380776.8203125,3773698082.806867
101010102,UNKNOWN,UNKNOWN,68,21539798.99264023,.0057078755427671,3746044.727083027,3773698082.806867
101010102,批,BATCH,27,12271983.53369141,.0032519781032836,2273,3773698082.806867
101010102,OTHER,OTHER,49,11281112.7071116,.0029894052093115,284176.5197868347,3773698082.806867
101010102,箱,CONTAINER,44,8693819.385284424,.0023037930418689,195589.4831237793,3773698082.806867
101010102,盒,CONTAINER,31,3651562.967569351,.0009676351651464,483764,3773698082.806867
101010102,瓶,CONTAINER,24,3534717.805955887,.0009366721259605,241559,3773698082.806867
