product_id,v_prod,n_units,dom_unit,dom_share,千克,个,UNKNOWN,套,立方米,千瓦时,千米,OTHER,箱,项,盒,次,平方米,批,瓶,月,包,瓦,袋,桶,笔,份,元,副,卷,单,罐,期,票,车,令,伏安
305010000,3.57109e+11,30,UNKNOWN,0.8041,0.001302,0.002622,0.804129,0.000729,0.002244,0.000000,0.000428,0.005610,0.000004,0.110422,0.000000,0.053816,0.002027,0.004348,0.000000,0.000885,0.000001,0.000039,0.000000,0.000001,0.002492,0.000007,0.005677,0.000001,0.000001,0.000068,0.000000,0.003102,0.000005,0.000041,,
109050501,2.92141e+11,24,个,0.9789,0.000047,0.978924,0.010458,0.003069,,,0.000004,0.006507,0.000003,0.000138,0.000010,0.000042,0.000000,0.000770,0.000005,0.000016,0.000000,,0.000000,0.000000,0.000001,0.000000,0.000006,0.000000,0.000000,0.000000,,0.000000,,,,
108030100,2.836e+11,20,千克,0.9963,0.996311,0.001008,0.001342,0.000069,0.000004,0.000000,0.000209,0.000925,0.000001,0.000002,0.000000,0.000000,0.000041,0.000066,0.000000,,0.000001,,0.000000,0.000002,,,,0.000001,0.000018,,,,,,,
102010200,2.22932e+11,20,千克,0.7325,0.732504,0.000105,0.267316,0.000032,0.000000,0.000002,0.000000,0.000035,,0.000000,0.000000,0.000000,0.000003,0.000000,0.000000,,0.000000,,,0.000000,,,,0.000000,0.000001,,0.000000,,,0.000000,,
102010100,2.01556e+11,22,千克,0.9754,0.975360,0.000195,0.023707,0.000028,0.000007,0.000020,0.000017,0.000598,0.000001,,0.000002,0.000004,0.000002,0.000018,0.000009,,0.000000,0.000028,0.000000,0.000001,,,,0.000001,0.000000,,0.000000,,,0.000000,,
109030501,1.90148e+11,26,个,0.8650,0.000093,0.864955,0.082097,0.001034,0.000004,0.000000,0.000000,0.000179,0.000002,0.000011,0.000000,0.000059,0.000000,0.051505,0.000001,0.000030,0.000000,,,0.000004,0.000000,,0.000023,0.000001,0.000001,0.000000,0.000000,,0.000002,0.000000,,
108020705,1.62344e+11,22,千克,0.9889,0.988945,0.000251,0.001211,0.000110,0.000032,0.000003,0.000231,0.007784,0.000000,0.000001,0.000000,0.000000,0.000205,0.001221,,,0.000000,,,0.000000,0.000001,,0.000001,0.000004,0.000001,,,,,0.000000,0.000000,
109050901,1.403e+11,26,个,0.9397,0.000008,0.939731,0.010380,0.047339,,0.000001,0.000006,0.000184,0.000028,0.000663,0.000007,0.000012,0.000008,0.000666,0.000000,0.000006,0.000938,,0.000000,0.000000,0.000003,0.000000,0.000015,0.000000,0.000002,0.000001,,0.000000,0.000001,,,
108020799,1.21835e+11,25,千克,0.9583,0.958280,0.016684,0.013936,0.001851,0.000089,0.000006,0.005178,0.001101,0.000027,0.000175,0.000001,0.000004,0.000904,0.001514,0.000003,0.000002,0.000007,0.000009,0.000000,0.000001,,,0.000000,0.000211,0.000011,,0.000005,,,0.000002,,
108020708,1.21065e+11,17,千克,0.9961,0.996100,0.003077,0.000088,0.000116,0.000003,,0.000103,0.000305,,0.000000,0.000000,0.000000,0.000148,0.000053,,,0.000000,,0.000002,0.000000,,,,0.000003,0.000001,,,,,,,
