product_id,v_prod,n_units,dom_unit,dom_share,千克,个,UNKNOWN,套,千瓦时,千米,立方米,项,OTHER,平方米,盒,箱,次,瓶,批,月,伏安,桶,袋,份,笔,罐,瓦,副,卷,包,元,票,期,令,单,车
305010000,4.414e+11,28,UNKNOWN,0.8000,0.003177,0.001701,0.799965,0.000518,,0.000141,0.002684,0.122234,0.004641,0.000942,0.000000,0.000004,0.052915,0.000000,0.004642,0.000079,,0.000000,0.000000,0.000070,0.003779,,0.000000,0.000000,0.000001,0.000015,0.002189,,0.000088,0.000000,0.000208,0.000005
102010100,3.6332e+11,19,千克,0.9946,0.994592,0.000300,0.004884,0.000019,0.000040,0.000032,0.000001,,0.000123,0.000005,0.000001,0.000000,,0.000001,0.000002,0.000000,,0.000000,0.000000,,,,,0.000000,0.000001,0.000000,,,,,,
108030100,3.01687e+11,22,千克,0.9943,0.994340,0.003201,0.001271,0.000138,0.000007,0.000225,0.000000,0.000025,0.000472,0.000259,0.000000,0.000000,0.000000,0.000000,0.000040,,,0.000002,0.000000,,,,,0.000007,0.000012,0.000001,0.000000,,,,,0.000000
109050501,2.70929e+11,21,个,0.9879,0.000004,0.987863,0.008877,0.002917,,0.000000,,0.000011,0.000112,0.000010,0.000003,,0.000001,,0.000190,0.000007,,0.000000,0.000000,0.000000,0.000002,,,0.000000,0.000001,0.000000,0.000002,,,,0.000000,
108020708,1.51939e+11,17,千克,0.9981,0.998100,0.000268,0.000039,0.000134,,0.000164,,0.000000,0.001249,0.000039,0.000000,0.000000,0.000000,,0.000005,,,0.000000,,,,0.000000,,0.000000,0.000000,0.000000,,,,,,
109031001,1.47897e+11,27,个,0.8683,0.011116,0.868336,0.017159,0.088695,0.000025,0.000732,0.000227,0.000020,0.002829,0.000056,0.000024,0.000055,0.000531,0.000677,0.002473,0.000045,,0.003671,0.000000,0.000009,0.000003,0.000103,,0.001412,0.000929,0.000047,0.000062,0.000002,,,,0.000761
109050901,1.38222e+11,21,个,0.9755,0.000037,0.975514,0.005068,0.018433,,0.000074,,0.000183,0.000172,0.000005,0.000001,0.000011,0.000018,0.000000,0.000458,0.000005,,0.000000,0.000000,0.000000,0.000000,,,0.000013,0.000009,0.000000,,,,,,
110010102,1.32703e+11,29,千瓦时,0.7543,0.001171,0.037520,0.049950,0.012906,0.754254,0.003406,0.000063,0.000554,0.018403,0.000081,0.000036,0.000002,0.000177,0.000016,0.000818,0.002447,0.117266,0.000002,0.000002,0.000006,0.000018,0.000000,0.000087,0.000269,0.000078,0.000003,0.000432,0.000032,0.000001,,,
108020799,1.23723e+11,23,千克,0.9558,0.955779,0.027870,0.002432,0.005890,0.000014,0.004097,0.000021,0.000071,0.002246,0.000952,0.000001,0.000002,0.000003,0.000002,0.000501,0.000007,,0.000003,0.000000,,,0.000000,,0.000105,0.000005,0.000001,,,,,,0.000000
107010101,1.16021e+11,23,千克,0.9046,0.904559,0.000189,0.002627,0.000070,,0.000000,0.091832,0.000001,0.000448,0.000003,0.000009,0.000002,0.000014,0.000033,0.000013,0.000001,,0.000179,0.000015,0.000000,,0.000000,,0.000001,0.000000,,0.000003,,,,,0.000000
108020705,1.14784e+11,19,千克,0.9974,0.997397,0.000383,0.001142,0.000587,0.000003,0.000145,0.000000,0.000001,0.000182,0.000056,0.000000,,0.000000,0.000000,0.000077,,,0.000026,,,,,,0.000000,0.000000,0.000000,,,,,,0.000000
110010101,1.14223e+11,27,千瓦时,0.9131,0.001355,0.026639,0.022249,0.008567,0.913090,0.000405,0.000169,0.001311,0.019084,0.000099,0.000001,0.000002,0.000058,0.000002,0.000955,0.000002,0.000001,0.000012,0.000001,0.000029,,0.000000,0.005951,0.000005,0.000013,0.000000,,,0.000001,0.000000,,
102010200,1.04915e+11,13,千克,0.9955,0.995526,0.000038,0.004351,0.000022,,0.000002,,,0.000051,,0.000006,,0.000001,0.000001,0.000000,,,0.000001,0.000000,,,,,0.000001,,,,,,,,
