product_id,v_prod,n_units,dom_unit,dom_share,千克,个,UNKNOWN,套,立方米,千瓦时,千米,OTHER,箱,项,盒,次,平方米,批,瓶,月,包,瓦,袋,桶,笔,份,元,副,卷,单,罐,期,票,车,令,伏安
305010000,3.57109e+11,30,UNKNOWN,0.8041,4.64957e+08,9.36316e+08,2.87161e+11,2.60221e+08,8.01194e+08,676.5,1.52695e+08,2.00334e+09,1.45048e+06,3.94327e+10,6735.76,1.92183e+10,7.239e+08,1.55277e+09,171108,3.16134e+08,220784,1.38739e+07,134660,225578,8.89827e+08,2.45335e+06,2.02716e+09,354564,458948,2.44364e+07,9900,1.10786e+09,1.67581e+06,1.45951e+07,,
109050501,2.92141e+11,24,个,0.9789,1.37825e+07,2.85984e+11,3.05518e+09,8.96581e+08,,,1.08238e+06,1.90098e+09,788256,4.01953e+07,2.86717e+06,1.22039e+07,36390.9,2.24922e+08,1.43529e+06,4.75765e+06,5090.24,,534.69,30501.3,215400,22780,1.79854e+06,130699,5218.97,578,,381.6,,,,
108030100,2.836e+11,20,千克,0.9963,2.82554e+11,2.85728e+08,3.8054e+08,1.95413e+07,1.25383e+06,19106.3,5.9318e+07,2.62411e+08,276816,611689,11237.1,8281.5,1.16914e+07,1.87345e+07,23334,,253426,,3140,481302,,,,364741,4.98713e+06,,,,,,,
102010200,2.22932e+11,20,千克,0.7325,1.63298e+11,2.33352e+07,5.95933e+10,7.15719e+06,52720,352412,107738,7.81016e+06,,3584.8,60672,27020,717700,33724.5,60029.1,,110.77,,,5878.5,,,,51000,164238,,240,,,42751.8,,
102010100,2.01556e+11,22,千克,0.9754,1.96589e+11,3.93834e+07,4.77837e+09,5.71888e+06,1.44824e+06,3.93604e+06,3.38697e+06,1.20558e+08,103393,,496870,827446,304478,3.70799e+06,1.83594e+06,,47465,5.67779e+06,35181.1,243863,,,,129168,45567.8,,54440,,,40152,,
109030501,1.90148e+11,26,个,0.8650,1.76052e+07,1.64469e+11,1.56105e+10,1.96555e+08,739435,33072,18440,3.39414e+07,320536,2.00156e+06,6561.86,1.11356e+07,1280,9.79363e+09,267629,5.67824e+06,14545,,,842171,73738,,4.36264e+06,101898,147658,1748,6115,,445295,783.32,,
108020705,1.62344e+11,22,千克,0.9889,1.6055e+11,4.07092e+07,1.96662e+08,1.78679e+07,5.19928e+06,426433,3.75178e+07,1.26368e+09,2860,124378,36,5856.01,3.32649e+07,1.98202e+08,,,24573.8,,,2597,226412,,88189.3,637516,92434,,,,,1062.5,5840,
109050901,1.403e+11,26,个,0.9397,1.07e+06,1.31844e+11,1.45631e+09,6.6416e+09,,111762,905910,2.58687e+07,3.97536e+06,9.30122e+07,980125,1.71144e+06,1.12791e+06,9.34535e+07,26922.6,805325,1.31577e+08,,14990,12874.7,489022,23389,2.16503e+06,5164.86,251936,124120,,116,72430,,,
108020799,1.21835e+11,25,千克,0.9583,1.16752e+11,2.03265e+09,1.69786e+09,2.25485e+08,1.08391e+07,670572,6.30892e+08,1.34125e+08,3.32285e+06,2.13455e+07,87940.4,511880,1.10101e+08,1.84477e+08,344914,205979,803653,1.05118e+06,25325.2,177877,,,54556.1,2.57025e+07,1.40034e+06,,668584,,,203110,,
108020708,1.21065e+11,17,千克,0.9961,1.20593e+11,3.72576e+08,1.06744e+07,1.40139e+07,382593,,1.24405e+07,3.69196e+07,,46000,3091.04,1580,1.79104e+07,6.43103e+06,,,14853,,241430,2144,,,,352293,135592,,,,,,,
110010102,1.14216e+11,30,千瓦时,0.8485,1.72272e+08,1.72079e+09,7.41799e+09,8.27238e+08,1.17059e+07,9.69099e+10,3.82812e+08,5.74991e+09,445386,7.65746e+07,401715,1.14225e+08,3.85941e+07,2.69258e+08,431519,1.5627e+08,806492,6.42823e+06,173272,431885,1.29088e+07,115813,8.41768e+07,1.67634e+07,1.26426e+07,70675.2,77007.3,3.69428e+06,14706.5,,,2.28937e+08
109031001,1.06549e+11,30,个,0.8326,1.0987e+09,8.8715e+10,4.12395e+09,8.2892e+09,1.15125e+07,4.57576e+06,6.36667e+07,3.20515e+09,1.23715e+07,6.85339e+06,9.66599e+06,7.88228e+07,1.49601e+07,4.61732e+08,4.3607e+07,1.23797e+06,7.8213e+07,540,496767,1.24808e+08,8.18861e+06,55463.5,1.54246e+06,1.07371e+08,6.29677e+07,909322,1.30017e+07,1.92368e+06,13927.6,8.83459e+06,,
107021301,8.78569e+10,24,千克,0.9911,8.70783e+10,2.0644e+08,7.09428e+07,4.91863e+07,8.0864e+07,,5.67163e+07,1.13475e+07,3.34824e+06,36331,930643,7332,2.45182e+08,1.51367e+07,254017,,5.20881e+06,,382637,1.59456e+07,120091,582264,3500,783327,1.45881e+07,,46950.7,,523632,,,
109041501,8.27482e+10,25,套,0.7825,4.6466e+06,1.61272e+10,1.69402e+09,6.47531e+10,69547.5,3324,2.71952e+06,2.5615e+07,1.44189e+06,7.0108e+06,1.90505e+06,71877,113556,1.29542e+08,38790.9,63311.3,53968.3,,,4770,186400,124164,5280,54790.6,28642.3,57974,5400,,,,,
