product_id,v_prod,n_units,dom_unit,dom_share,千克,个,UNKNOWN,套,千瓦时,千米,立方米,项,OTHER,平方米,盒,箱,次,瓶,批,月,伏安,桶,袋,份,笔,罐,瓦,副,卷,包,元,票,期,令,单,车
305010000,4.414e+11,28,UNKNOWN,0.8000,1.40211e+09,7.50803e+08,3.53105e+11,2.2866e+08,,6.24181e+07,1.18482e+09,5.39541e+10,2.04869e+09,4.15759e+08,19500,1.85824e+06,2.33569e+10,2026,2.04887e+09,3.47254e+07,,71795,7342.65,3.10981e+07,1.66813e+09,,58905,112816,533090,6.59432e+06,9.66393e+08,,3.87938e+07,30578.6,9.16667e+07,2.20501e+06
102010100,3.6332e+11,19,千克,0.9946,3.61355e+11,1.08897e+08,1.77431e+09,6.97807e+06,1.44591e+07,1.16453e+07,495194,,4.45931e+07,1.6867e+06,268676,106024,,257540,599639,99999.9,,54331.9,250,,,,,23603,273111,12669,,,,,,
108030100,3.01687e+11,22,千克,0.9943,2.9998e+11,9.65639e+08,3.83403e+08,4.17217e+07,2.19043e+06,6.78001e+07,2400,7.44465e+06,1.42375e+08,7.82253e+07,1540,41630,65610,37451.5,1.20533e+07,,,562720,1126,,,,,1.96173e+06,3.74235e+06,160067,856.56,,,,,117845
109050501,2.70929e+11,21,个,0.9879,1.08163e+06,2.67641e+11,2.40503e+09,7.90251e+08,,52549.6,,3.075e+06,3.02413e+07,2.67836e+06,690117,,240299,,5.15751e+07,1.82025e+06,,2765,56240,83296,637415,,,14399,299897,4173.75,420046,,,,122378,
108020708,1.51939e+11,17,千克,0.9981,1.5165e+11,4.077e+07,5.93038e+06,2.03964e+07,,2.49195e+07,,49198.2,1.89734e+08,5.99072e+06,1378,223,40074.7,,752491,,,1300,,,,8194.88,,35485.8,37915.7,90,,,,,,
109031001,1.47897e+11,27,个,0.8683,1.64404e+09,1.28424e+11,2.53778e+09,1.31177e+10,3.73769e+06,1.08305e+08,3.35677e+07,2.98658e+06,4.18338e+08,8.22324e+06,3.54472e+06,8.07552e+06,7.84886e+07,1.00119e+08,3.65689e+08,6.66343e+06,,5.42956e+08,57542.6,1.38752e+06,455098,1.52325e+07,,2.08903e+08,1.37401e+08,6.89513e+06,9.23809e+06,278168,,,,1.12595e+08
109050901,1.38222e+11,21,个,0.9755,5.14625e+06,1.34838e+11,7.00503e+08,2.54779e+09,,1.02099e+07,,2.52551e+07,2.3795e+07,687056,171580,1.53262e+06,2.46915e+06,7550.02,6.32428e+07,667349,,14350,140.4,32017,17015,,,1.7779e+06,1.23021e+06,4133.96,,,,,,
110010102,1.32703e+11,29,千瓦时,0.7543,1.55432e+08,4.97904e+09,6.62848e+09,1.7127e+09,1.00092e+11,4.51927e+08,8.32619e+06,7.35314e+07,2.44211e+09,1.07534e+07,4.80587e+06,321169,2.34448e+07,2.18067e+06,1.08593e+08,3.24699e+08,1.55616e+10,215979,250030,731267,2.38843e+06,22738.1,1.15659e+07,3.56593e+07,1.03585e+07,456626,5.73335e+07,4.23075e+06,108205,,,
108020799,1.23723e+11,23,千克,0.9558,1.18251e+11,3.44809e+09,3.00903e+08,7.28724e+08,1.76655e+06,5.06867e+08,2.60389e+06,8.75728e+06,2.77873e+08,1.178e+08,90023.4,190433,309922,249682,6.19385e+07,918684,,322614,30323.9,,,2233.53,,1.29454e+07,636478,80123.2,,,,,,41845.2
107010101,1.16021e+11,23,千克,0.9046,1.04948e+11,2.19779e+07,3.04804e+08,8.16343e+06,,35899,1.06545e+10,87614.2,5.19557e+07,313644,997562,227568,1.64034e+06,3.8259e+06,1.46557e+06,162091,,2.07881e+07,1.68301e+06,50,,2448,,167400,35686.3,,361530,,,,,127
