dimension,unit_std,nrec,value,qty_std
MASS,千克,1144361,3724220969394.358,1.53213649924e+16
COUNT,个,4994907,2184910746381.54,1861627727462.732
UNKNOWN,UNKNOWN,638893,900927774881.7644,7630379876337525
SET,套,733299,297218807587.1404,11678783642.797
VOLUME,立方米,189151,148562654614.4421,29287375227.26666
ENERGY,千瓦时,53426,126868794966.35,444486666125.2841
LENGTH,千米,248178,114463035981.7806,180021117.4949478
OTHER,OTHER,630048,101908467212.6304,916171801461176.6
CONTAINER,箱,153430,92094292709.33139,1195263053.846827
SERVICE,项,103106,86607994346.9503,708346889.4302616
CONTAINER,盒,200345,64176520339.37317,4241445136.502437
SERVICE,次,171397,59474444531.23989,276551449.7338309
AREA,平方米,105744,57291256758.47995,4981521196.020846
BATCH,批,120711,56986809909.48082,786883240.2609459
CONTAINER,瓶,204917,48530244834.13083,2638941955.683168
TIME,月,104734,20809395171.02004,35572166.45805698
CONTAINER,包,144280,15446059863.87931,2809994158.776226
POWER,瓦,662,14764178319.73,20506118236.75912
CONTAINER,袋,104886,14610508080.53919,1656794019.077397
CONTAINER,桶,120294,10551401231.04992,212440049.6951219
SERVICE,笔,17294,7521131854.690001,118280450.5662999
SERVICE,份,85980,7208828039.469975,2486775728.425404
MONEY,元,20175,6974680060.160011,15944827852.43556
SET,副,85980,6765626002.099967,2827104366.242983
CONTAINER,卷,133668,6744219555.389994,539189134.1700281
SERVICE,单,81622,4830625581.02999,2123578.708661092
CONTAINER,罐,28185,4382686469.730035,510144004.6795308
SERVICE,期,7403,3210253046.570003,1071873.035324578
SERVICE,票,14259,2232521608.52,3965058.803199153
CONTAINER,车,4459,1135606827.71,2480398.686236057
CONTAINER,令,5541,1122187302.489998,9797733.074354373
POWER,伏安,162,236879212.01,241368552.6232699
