dimension,unit_std,nrec,value,qty_std
MASS,千克,253607,3758550740485.379,14955771823020.84
COUNT,个,1463149,2453297926785.319,3807706919285.26
UNKNOWN,UNKNOWN,125125,728312856969.1626,33274136103.64111
SET,套,252975,248138152043.6534,16137989935.73818
ENERGY,千瓦时,6300,211150556155.3099,898902234586.6826
LENGTH,千米,91646,139916596011.8163,181218539.6071901
VOLUME,立方米,16482,112733420646.5402,40801089407.48033
SERVICE,项,21167,111042659882.2025,1028460236.831982
OTHER,OTHER,143915,80055327923.28893,249939601903.3541
AREA,平方米,28707,63526448667.95262,6321118079.036222
CONTAINER,盒,64574,59632759757.74946,4118815656.343898
CONTAINER,箱,39480,58148383573.50272,1181283971.55687
SERVICE,次,19843,53614258945.00555,44065176.83411416
CONTAINER,瓶,61005,51512148527.49847,3425759388.943097
BATCH,批,37372,33524811034.79045,294167987.5334258
TIME,月,10203,18177830750.71178,104039975.776967
POWER,伏安,17,15562235273.27793,30688635523.888
CONTAINER,桶,33835,14561405559.90879,201840195.5845212
CONTAINER,袋,31650,11491958628.56239,1225112618.695838
SERVICE,份,3655,11478300364.24414,2800763072.747292
SERVICE,笔,1275,9869776771.244526,2718096.72399497
CONTAINER,罐,7827,8291109451.86284,383236669.5931089
POWER,瓦,200,8061696887.25415,4206981607.804688
SET,副,32437,7391291116.905455,4186791958.409678
CONTAINER,卷,40189,7119905509.966963,436935150.513037
CONTAINER,包,45998,6893260227.625441,2860090958.378021
MONEY,元,1481,4497933804.860294,4528580065.206232
SERVICE,票,870,2614701631.229832,1391619.315416098
SERVICE,期,353,2262765236.175171,430837.3128668591
CONTAINER,令,971,1575810732.030663,15712844.69950086
SERVICE,单,337,1542708243.152259,2376419.879999161
CONTAINER,车,1406,1421948479.247314,45780053.50417566
