product_id,n_obs,n_firms,n_cities,mean_price,median_price,min_price,max_price,std_price,mean_lnp,std_lnp,min_lnp,max_lnp,mkt_price,range_price,range_lnp,cv_price
201050000,222,222,94,3667.2473,37.7644,0.04,163991.71,17212.0477,3.972,3.1775,-3.2189,12.0076,3.9329,163991.67,15.2264,4.6935
109990000,218,218,96,3109.1779,193.9581,0.1225,117205.596,11370.164,5.3062,2.5665,-2.0995,11.6717,19.3385,117205.4734,13.7712,3.657
110010102,217,217,105,13586.2751,0.9078,0.1308,1392575.7514,108240.8985,1.4764,3.1337,-2.0341,14.1467,1.6851,1392575.6206,16.1808,7.9669
109040703,210,210,95,119.5042,25.6455,0.0742,7669.0,594.3839,3.2057,1.5945,-2.6006,8.9449,3.8574,7668.9258,11.5456,4.9737
107022202,196,196,100,348.3785,22.0618,0.0495,44234.4286,3222.1508,3.3284,1.3039,-3.0057,10.6973,23.463,44234.3791,13.7029,9.249
109051299,176,176,75,566.237,147.052,0.1958,31896.0,2468.0493,4.847,1.8868,-1.6309,10.3702,30.8973,31895.8042,12.0011,4.3587
109031001,176,176,81,1031.8523,85.4047,0.1062,70952.2647,5851.3237,4.2628,2.1207,-2.2425,11.1698,132.2236,70952.1585,13.4123,5.6707
107060112,172,172,83,1104.9445,9.1686,0.1455,180469.07,13758.1633,2.4559,1.7191,-1.9276,12.1033,1.4515,180468.9245,14.031,12.4515
107022301,166,166,85,1400.3332,26.5587,4.4809,225031.9245,17462.4623,3.4639,1.067,1.4998,12.324,20.2094,225027.4436,10.8242,12.4702
304990000,165,165,76,34407.3522,10464.0184,0.1195,1096179.7367,94059.684,8.6399,2.7091,-2.1247,13.9073,144.1888,1096179.6172,16.032,2.7337
108041700,161,161,71,274.831,28.2188,0.049,7059.78,829.8222,3.3587,2.3413,-3.0166,8.8622,20.1918,7059.731,11.8787,3.0194
106010504,157,157,82,891.1015,22.1138,1.02,130959.6326,10447.6568,3.3112,1.3454,0.0198,11.7826,21.2442,130958.6126,11.7628,11.7244
108049900,156,156,74,730.6705,33.8769,0.118,26514.5,2924.9746,3.706,2.5093,-2.1373,10.1854,6.1003,26514.382,12.3228,4.0031
109050901,155,155,72,6919.3892,3710.9091,2.0583,121424.7822,15152.0964,7.9195,1.5341,0.7219,11.7071,1737.5149,121422.7239,10.9852,2.1898
106010501,150,150,76,1900.7445,6.9808,0.1461,264395.4,21592.8263,2.1566,1.9677,-1.9235,12.4852,1.7685,264395.2539,14.4087,11.3602
107060106,146,146,71,832.946,1.6049,0.0882,110827.5538,9183.4446,0.9187,2.2067,-2.4279,11.6157,0.8172,110827.4656,14.0437,11.0253
106051202,145,145,77,227.9393,9.1446,0.4277,26065.1345,2165.1576,2.6071,1.5266,-0.8494,10.1684,5.8053,26064.7068,11.0177,9.4988
108020799,144,144,77,1696.5484,483.1433,0.9417,13900.5524,2281.4347,5.5634,2.5809,-0.0601,9.5397,162.4973,13899.6107,9.5998,1.3448
106040201,143,143,74,33.9371,5.7527,0.3709,1359.2904,144.6305,1.7854,1.4179,-0.9918,7.2147,1.8898,1358.9195,8.2065,4.2617
107022302,141,141,81,86.0981,35.0793,0.8406,1316.7339,177.4783,3.6753,1.1958,-0.1737,7.1829,36.8824,1315.8933,7.3566,2.0614
106051299,137,137,80,126.7476,17.015,0.15,7747.75,693.21,2.892,1.6657,-1.897,8.9552,8.1279,7747.6,10.8521,5.4692
104010602,137,137,71,24.9421,9.9061,0.55,367.9497,47.7441,2.5685,0.9675,-0.5978,5.9079,12.5968,367.3997,6.5058,1.9142
106051204,137,137,74,335.7698,23.8936,0.89,18422.8083,1899.4154,3.3524,1.4876,-0.1165,9.8213,12.6379,18421.9183,9.9378,5.6569
108041401,133,133,72,13.8269,1.2319,0.0204,432.4,44.0951,0.5431,2.1063,-3.8899,6.0694,0.6697,432.3796,9.9592,3.1891
107022201,132,132,77,26.1185,8.469,0.6118,340.786,48.4183,2.4732,1.1156,-0.4913,5.8313,15.8489,340.1742,6.3226,1.8538
106010502,131,131,65,252.6384,8.1109,0.008,15779.8,1580.8967,2.3594,1.8855,-4.8283,9.6665,5.0137,15779.792,14.4948,6.2575
107022401,131,131,74,42.3792,15.2135,0.8544,655.367,84.2063,2.9807,1.0377,-0.1574,6.4852,13.4872,654.5126,6.6426,1.987
103010501,130,130,77,149.3069,74.6779,4.8942,2940.568,354.7217,4.4343,0.8349,1.5881,7.9864,141.7675,2935.6738,6.3983,2.3758
107060101,129,129,63,133.5625,10.2998,0.1767,13849.8451,1218.0925,2.2842,1.708,-1.7332,9.536,2.0743,13849.6684,11.2692,9.12
109041703,128,128,69,471.4957,118.359,1.231,17386.1675,1686.4031,4.9506,1.3135,0.2078,9.7634,81.4989,17384.9365,9.5556,3.5767
108040101,128,128,65,8680.7214,161.7597,0.3098,685500.0,64676.244,5.0436,2.5625,-1.1717,13.4379,52.9687,685499.6902,14.6096,7.4506
107060199,126,126,60,111.1178,7.9654,0.0442,10481.9159,935.8399,1.8744,1.8999,-3.1197,9.2574,1.3769,10481.8717,12.3771,8.422
107060109,125,125,66,105.0105,16.9856,0.0784,7989.8857,717.74,2.3528,1.9822,-2.5462,8.9859,0.7318,7989.8073,11.5322,6.8349
103010201,125,125,74,4774.9978,25.5766,2.1508,578397.146,51726.0642,3.3822,1.559,0.7658,13.268,15.4186,578394.9952,12.5022,10.8327
103030704,123,123,65,37.6946,7.0107,0.8767,2007.2472,185.7905,2.1919,1.269,-0.1316,7.6045,6.9732,2006.3705,7.7361,4.9288
103020201,118,118,67,6830.0056,10.7181,1.3048,802696.14,73891.6291,2.77,1.4367,0.266,13.5957,22.6867,802694.8352,13.3297,10.8187
109031002,118,118,66,1687.0428,72.2118,0.1772,137726.6994,12831.8739,4.2436,2.2369,-1.7306,11.833,34.9434,137726.5222,13.5636,7.6061
106040109,116,116,58,130.382,3.9717,0.2635,10157.985,946.0415,2.0634,1.8725,-1.3338,9.226,10.9052,10157.7215,10.5598,7.2559
107030801,116,116,73,124.9846,3.9262,0.4446,9300.8252,900.8481,1.7183,1.6083,-0.8106,9.1379,3.3917,9300.3806,9.9484,7.2077
109041701,112,112,64,2165.8917,243.883,38.2176,173443.4649,16385.2386,5.7653,1.155,3.6433,12.0636,178.6103,173405.2473,8.4203,7.5651
109010206,112,112,65,416.1249,65.0495,0.0954,11325.0,1216.5101,4.19,2.099,-2.3501,9.3348,24.1321,11324.9046,11.6849,2.9234
103020103,111,111,60,33.5336,13.2611,1.2545,688.3608,79.6601,2.7721,1.0034,0.2268,6.5343,20.5428,687.1063,6.3076,2.3755
103030200,111,111,65,294.7939,87.2837,5.4,4448.5053,617.2664,4.793,1.209,1.6864,8.4003,112.6666,4443.1053,6.7139,2.0939
109019900,110,110,63,7181.9943,160.656,0.0977,455000.0,44997.3461,5.0727,2.8062,-2.3258,13.0281,26.7718,454999.9023,15.3539,6.2653
103020402,110,110,58,547.9441,42.4122,2.2794,40000.0,3829.8716,4.0156,1.5265,0.8239,10.5966,64.6565,39997.7206,9.7727,6.9895
103020604,109,109,67,55.3129,9.7133,0.1803,3403.8986,325.9538,2.5612,1.21,-1.7131,8.1327,18.1669,3403.7183,9.8458,5.8929
103020101,109,109,61,54.0328,15.2028,2.3424,1155.304,131.821,3.099,1.1198,0.8512,7.0521,16.5681,1152.9616,6.201,2.4396
106010203,109,109,74,167.0413,18.8343,1.8964,6681.5654,868.3213,3.0991,1.4491,0.64,8.8071,20.8913,6679.669,8.1671,5.1982
109042401,108,108,55,187.7945,53.4323,0.0778,6681.2319,690.8123,3.849,1.6786,-2.5537,8.8071,17.3923,6681.1541,11.3607,3.6786
